id,code,imsak,subuh,syuruk,zohor,asar,maghrib,isyak,solat_date,create_date,status
NULL,JHR01,5:34,5:44,7:06,13:07,16:31,19:06,20:20,2016-01-01,2015-12-28,ACT
NULL,JHR01,5:34,5:44,7:07,13:08,16:31,19:06,20:21,2016-01-02,2015-12-28,ACT
NULL,JHR01,5:35,5:45,7:07,13:08,16:32,19:07,20:21,2016-01-03,2015-12-28,ACT
NULL,JHR01,5:35,5:45,7:08,13:09,16:32,19:07,20:22,2016-01-04,2015-12-28,ACT
NULL,JHR01,5:36,5:46,7:08,13:09,16:32,19:08,20:22,2016-01-05,2015-12-28,ACT
NULL,JHR01,5:36,5:46,7:08,13:10,16:33,19:08,20:22,2016-01-06,2015-12-28,ACT
NULL,JHR01,5:37,5:47,7:09,13:10,16:33,19:08,20:23,2016-01-07,2015-12-28,ACT
NULL,JHR01,5:37,5:47,7:09,13:11,16:34,19:09,20:23,2016-01-08,2015-12-28,ACT
NULL,JHR01,5:38,5:48,7:10,13:11,16:34,19:09,20:24,2016-01-09,2015-12-28,ACT
NULL,JHR01,5:38,5:48,7:10,13:12,16:35,19:10,20:24,2016-01-10,2015-12-28,ACT
NULL,JHR01,5:39,5:49,7:10,13:12,16:35,19:10,20:24,2016-01-11,2015-12-28,ACT
NULL,JHR01,5:39,5:49,7:11,13:12,16:35,19:11,20:25,2016-01-12,2015-12-28,ACT
NULL,JHR01,5:40,5:50,7:11,13:13,16:36,19:11,20:25,2016-01-13,2015-12-28,ACT
NULL,JHR01,5:40,5:50,7:11,13:13,16:36,19:12,20:25,2016-01-14,2015-12-28,ACT
NULL,JHR01,5:40,5:50,7:12,13:13,16:36,19:12,20:26,2016-01-15,2015-12-28,ACT
NULL,JHR01,5:41,5:51,7:12,13:14,16:37,19:12,20:26,2016-01-16,2015-12-28,ACT
NULL,JHR01,5:41,5:51,7:12,13:14,16:37,19:13,20:26,2016-01-17,2015-12-28,ACT
NULL,JHR01,5:42,5:52,7:13,13:14,16:37,19:13,20:26,2016-01-18,2015-12-28,ACT
NULL,JHR01,5:42,5:52,7:13,13:15,16:37,19:13,20:27,2016-01-19,2015-12-28,ACT
NULL,JHR01,5:42,5:52,7:13,13:15,16:38,19:14,20:27,2016-01-20,2015-12-28,ACT
NULL,JHR01,5:43,5:53,7:14,13:15,16:38,19:14,20:27,2016-01-21,2015-12-28,ACT
NULL,JHR01,5:43,5:53,7:14,13:16,16:38,19:14,20:27,2016-01-22,2015-12-28,ACT
NULL,JHR01,5:44,5:54,7:14,13:16,16:38,19:15,20:28,2016-01-23,2015-12-28,ACT
NULL,JHR01,5:44,5:54,7:14,13:16,16:38,19:15,20:28,2016-01-24,2015-12-28,ACT
NULL,JHR01,5:44,5:54,7:14,13:16,16:39,19:15,20:28,2016-01-25,2015-12-28,ACT
NULL,JHR01,5:45,5:55,7:15,13:17,16:39,19:16,20:28,2016-01-26,2015-12-28,ACT
NULL,JHR01,5:45,5:55,7:15,13:17,16:39,19:16,20:28,2016-01-27,2015-12-28,ACT
NULL,JHR01,5:45,5:55,7:15,13:17,16:39,19:16,20:28,2016-01-28,2015-12-28,ACT
NULL,JHR01,5:45,5:55,7:15,13:17,16:39,19:16,20:29,2016-01-29,2015-12-28,ACT
NULL,JHR01,5:46,5:56,7:15,13:17,16:39,19:17,20:29,2016-01-30,2015-12-28,ACT
NULL,JHR01,5:46,5:56,7:15,13:18,16:39,19:17,20:29,2016-01-31,2015-12-28,ACT
NULL,JHR01,5:46,5:56,7:15,13:18,16:39,19:17,20:29,2016-02-01,2015-12-28,ACT
NULL,JHR01,5:46,5:56,7:15,13:18,16:39,19:17,20:29,2016-02-02,2015-12-28,ACT
NULL,JHR01,5:46,5:56,7:16,13:18,16:39,19:17,20:29,2016-02-03,2015-12-28,ACT
NULL,JHR01,5:47,5:57,7:16,13:18,16:39,19:17,20:29,2016-02-04,2015-12-28,ACT
NULL,JHR01,5:47,5:57,7:16,13:18,16:39,19:18,20:29,2016-02-05,2015-12-28,ACT
NULL,JHR01,5:47,5:57,7:16,13:18,16:39,19:18,20:29,2016-02-06,2015-12-28,ACT
NULL,JHR01,5:47,5:57,7:16,13:18,16:39,19:18,20:29,2016-02-07,2015-12-28,ACT
NULL,JHR01,5:47,5:57,7:16,13:18,16:39,19:18,20:29,2016-02-08,2015-12-28,ACT
NULL,JHR01,5:47,5:57,7:16,13:18,16:39,19:18,20:29,2016-02-09,2015-12-28,ACT
NULL,JHR01,5:47,5:57,7:16,13:19,16:38,19:18,20:29,2016-02-10,2015-12-28,ACT
NULL,JHR01,5:48,5:58,7:16,13:19,16:38,19:18,20:29,2016-02-11,2015-12-28,ACT
NULL,JHR01,5:48,5:58,7:16,13:19,16:38,19:18,20:29,2016-02-12,2015-12-28,ACT
NULL,JHR01,5:48,5:58,7:16,13:19,16:38,19:18,20:29,2016-02-13,2015-12-28,ACT
NULL,JHR01,5:48,5:58,7:15,13:19,16:37,19:18,20:29,2016-02-14,2015-12-28,ACT
NULL,JHR01,5:48,5:58,7:15,13:18,16:37,19:18,20:29,2016-02-15,2015-12-28,ACT
NULL,JHR01,5:48,5:58,7:15,13:18,16:37,19:18,20:29,2016-02-16,2015-12-28,ACT
NULL,JHR01,5:48,5:58,7:15,13:18,16:37,19:18,20:29,2016-02-17,2015-12-28,ACT
NULL,JHR01,5:48,5:58,7:15,13:18,16:36,19:18,20:29,2016-02-18,2015-12-28,ACT
NULL,JHR01,5:48,5:58,7:15,13:18,16:36,19:18,20:29,2016-02-19,2015-12-28,ACT
NULL,JHR01,5:48,5:58,7:15,13:18,16:35,19:18,20:28,2016-02-20,2015-12-28,ACT
NULL,JHR01,5:47,5:57,7:15,13:18,16:35,19:18,20:28,2016-02-21,2015-12-28,ACT
NULL,JHR01,5:47,5:57,7:14,13:18,16:35,19:18,20:28,2016-02-22,2015-12-28,ACT
NULL,JHR01,5:47,5:57,7:14,13:18,16:34,19:18,20:28,2016-02-23,2015-12-28,ACT
NULL,JHR01,5:47,5:57,7:14,13:18,16:34,19:18,20:28,2016-02-24,2015-12-28,ACT
NULL,JHR01,5:47,5:57,7:14,13:17,16:33,19:18,20:28,2016-02-25,2015-12-28,ACT
NULL,JHR01,5:47,5:57,7:13,13:17,16:33,19:18,20:28,2016-02-26,2015-12-28,ACT
NULL,JHR01,5:47,5:57,7:13,13:17,16:32,19:18,20:27,2016-02-27,2015-12-28,ACT
NULL,JHR01,5:47,5:57,7:13,13:17,16:32,19:18,20:27,2016-02-28,2015-12-28,ACT
NULL,JHR01,5:47,5:57,7:13,13:17,16:32,19:18,20:27,2016-02-29,2015-12-28,ACT
NULL,JHR01,5:46,5:56,7:13,13:17,16:30,19:18,20:27,2016-03-01,2015-12-28,ACT
NULL,JHR01,5:46,5:56,7:12,13:16,16:30,19:17,20:27,2016-03-02,2015-12-28,ACT
NULL,JHR01,5:46,5:56,7:12,13:16,16:29,19:17,20:26,2016-03-03,2015-12-28,ACT
NULL,JHR01,5:46,5:56,7:12,13:16,16:29,19:17,20:26,2016-03-04,2015-12-28,ACT
NULL,JHR01,5:45,5:55,7:11,13:16,16:28,19:17,20:26,2016-03-05,2015-12-28,ACT
NULL,JHR01,5:45,5:55,7:11,13:16,16:27,19:17,20:26,2016-03-06,2015-12-28,ACT
NULL,JHR01,5:45,5:55,7:11,13:15,16:26,19:17,20:26,2016-03-07,2015-12-28,ACT
NULL,JHR01,5:45,5:55,7:10,13:15,16:26,19:16,20:25,2016-03-08,2015-12-28,ACT
NULL,JHR01,5:44,5:54,7:10,13:15,16:25,19:16,20:25,2016-03-09,2015-12-28,ACT
NULL,JHR01,5:44,5:54,7:10,13:15,16:24,19:16,20:25,2016-03-10,2015-12-28,ACT
NULL,JHR01,5:44,5:54,7:10,13:14,16:23,19:16,20:25,2016-03-11,2015-12-28,ACT
